Study,SOP,Country,Region
Hewitt & Flett,4.391333333,CAN,NORTH_AMERICA
Hewitt & Flett,4.533333333,CAN,NORTH_AMERICA
Hewitt & Flett,4.448,CAN,NORTH_AMERICA
Westra TH,4.636666667,CAN,NORTH_AMERICA
Flett,4.569333333,CAN,NORTH_AMERICA
Flett,4.564666667,CAN,NORTH_AMERICA
Flett,4.531333333,CAN,NORTH_AMERICA
Flett,4.673333333,CAN,NORTH_AMERICA
Hart et al,4.918666667,UK,UK
Bottos & Dewey,4.809333333,CAN,NORTH_AMERICA
Dunn et al,5.013333333,CAN,NORTH_AMERICA
Weishuhn TH,4.687333333,USA,NORTH_AMERICA
Rice & Ashby,4.615333333,USA,NORTH_AMERICA
Neumeister & Fintch,4.632666667,USA,NORTH_AMERICA
Flamenbaum & Holden,4.865333333,CAN,NORTH_AMERICA
Flett,4.662,CAN,NORTH_AMERICA
Kutlesa & Arthur,4.662666667,CAN,NORTH_AMERICA
Carter & Weissbrod,4.724,USA,NORTH_AMERICA
Powers et al,4.48,USA,NORTH_AMERICA
Stoeber & Kobori,4.608666667,UK,UK
Stoeber,4.77,UK,UK
Short TH,4.877333333,CAN,NORTH_AMERICA
Ey,4.74,USA,NORTH_AMERICA
Hewitt & Flett,4.894666667,CAN,NORTH_AMERICA
Akram et al,4.553333333,UK,UK
Wyatt & Gilbert,4.358666667,UK,UK
Ey,4.806666667,USA,NORTH_AMERICA
Flett,4.709333333,CAN,NORTH_AMERICA
Enns,5.22,CAN,NORTH_AMERICA
Mann,4.426666667,USA,NORTH_AMERICA
Chang & SanNORTH_AMERICA,4.578666667,USA,NORTH_AMERICA
Gilbert et al,3.576666667,UK,UK
Flett,4.578,CAN,NORTH_AMERICA
Ferrari & Mautz,4.44,USA,NORTH_AMERICA
Walsh & Ugumba-Agwun,4.465333333,UK,UK
O'Connor et al,4.172666667,UK,UK
Flett,4.406,CAN,NORTH_AMERICA
Hayward et al,4.604148936,USA,NORTH_AMERICA
Hayward et al,4.683098039,USA,NORTH_AMERICA
Sherry,4.744666667,CAN,NORTH_AMERICA
Shafran et al,4.399674797,UK,UK
Buhr & Dugas,4.592,USA,NORTH_AMERICA
Morrisson TH,4.174666667,UK,UK
Flett,4.78,CAN,NORTH_AMERICA
Mills & Blankstein,4.671333333,CAN,NORTH_AMERICA
Downey,4.69910448,USA,NORTH_AMERICA
Desnoyers & Arpin Cr,4.781333333,CAN,NORTH_AMERICA
MolNORTH_AMERICAr et al,4.648,CAN,NORTH_AMERICA
Ann TH,4.395,CAN,NORTH_AMERICA
Hewitt & Flett,4.31,CAN,NORTH_AMERICA
Blankstein,4.673333333,CAN,NORTH_AMERICA
Mclaren TH,4.49,USA,NORTH_AMERICA
O'Connor & Forgan,4.265333333,UK,UK
Kobori et al,4.37,UK,UK
Williams TH,4.41,USA,NORTH_AMERICA
Flett,4.664,CAN,NORTH_AMERICA
Hewitt,4.378666667,CAN,NORTH_AMERICA
