ID,Structure,Control,Exhaustion,Disconnection,Gender
122,5.375,2.25,5,4.916666667,Female
6,4.75,5.25,4.6,4.861111111,Male
78,4.5,3,4.2,5.416666667,Male
89,7,3,4.2,2,Female
61,4.125,3.25,4,3,Male
67,5.25,3.25,4,3.666666667,Male
143,6,2,4,3.083333333,Female
121,5.25,2.25,3.8,3.583333333,Female
1,4.714285714,6.25,3.6,3.166666667,Male
44,4.625,3.75,3.6,1.833333333,Male
88,5.875,3,3.6,4.583333333,Female
90,2.75,2.75,3.6,4,Male
96,5,2.75,3.6,1.25,Male
156,5.375,1.75,3.6,1.166666667,Female
36,4.5,4,3.4,3,Male
37,4.875,4,3.4,3.916666667,Male
86,5.5,3,3.4,5.583333333,Male
101,6.5,2.75,3.4,1.166666667,Female
47,5.5,3.75,3.25,2.083333333,Male
4,4.75,5.75,3.2,3.861111111,Male
66,4.75,3.25,3.2,4.944444444,Male
73,6.125,3.25,3.2,4.166666667,Male
188,4.5,1,3.2,2.388888889,Female
32,4,4,3,3.75,Male
54,5,3.5,3,2.916666667,Male
57,5.625,3.5,3,3.083333333,Male
62,4.375,3.25,3,3.5,Male
68,5.25,3.25,3,4.5,Male
75,3.875,3,3,3.916666667,Female
84,5.25,3,3,4,Female
103,3.75,2.5,3,2.083333333,Female
108,5.5,2.5,3,4.833333333,Female
151,5,1.75,3,1.5,Female
155,5.25,1.75,3,3.916666667,Female
193,5.125,1,3,3.805555556,Female
3,5.125,6,2.8,1.75,Male
26,4.875,4.25,2.8,1,Male
27,5.125,4.25,2.8,6.222222222,Male
34,4.125,4,2.8,2.833333333,Male
50,3.75,3.5,2.8,4.333333333,Male
127,6.125,2.25,2.8,2.666666667,Female
145,6.25,2,2.8,1.333333333,Female
194,5.375,1,2.8,2.666666667,Female
23,4.625,4.25,2.75,1.75,Male
5,6.125,5.5,2.6,5.083333333,Male
14,5,4.75,2.6,2.5,Male
38,5.125,4,2.6,5.194444444,Male
41,6.75,4,2.6,3.5,Male
56,5.375,3.5,2.6,2.5,Male
70,5.375,3.25,2.6,3.25,Male
79,4.5,3,2.6,3,Male
82,5.125,3,2.6,3.083333333,Female
91,4,2.75,2.6,2.472222222,Female
98,5.875,2.75,2.6,3.25,Female
105,5.25,2.5,2.6,3.25,Female
140,5.875,2,2.6,2.166666667,Female
146,6.25,2,2.6,1.166666667,Female
153,5.125,1.75,2.6,1.5,Female
154,5.125,1.75,2.6,1.833333333,Female
160,5.75,1.75,2.6,2.25,Female
163,6.375,1.75,2.6,1,Female
205,5.875,1,2.6,1.916666667,Female
29,6.375,4.25,2.4,4.166666667,Female
65,4.5,3.25,2.4,3.333333333,Female
106,5.375,2.5,2.4,2.5,Female
118,4.125,2.25,2.4,3.083333333,Female
126,6,2.25,2.4,1.333333333,Female
128,6.125,2.25,2.4,1.25,Female
147,2.625,1.75,2.4,3.916666667,Female
148,4.25,1.75,2.4,1.5,Male
157,5.375,1.75,2.4,3,Male
181,5.625,1.25,2.4,2.083333333,Male
187,4.375,1,2.4,2.416666667,Male
202,5.75,1,2.4,2.666666667,Male
206,5.875,1,2.4,2.333333333,Male
63,4.375,3.25,2.25,3.416666667,Male
2,4.375,6,2.2,2.916666667,Male
20,5.285714286,4.5,2.2,4.25,Male
22,4,4.25,2.2,3.5,Male
24,4.625,4.25,2.2,4,Male
60,3.714285714,3.25,2.2,4.25,Female
64,4.375,3.25,2.2,2.25,Female
97,5.25,2.75,2.2,2.333333333,Female
100,6,2.75,2.2,1.166666667,Female
111,5.875,2.5,2.2,3,Female
123,5.625,2.25,2.2,2.083333333,Female
124,5.875,2.25,2.2,3.166666667,Female
141,5.875,2,2.2,1.083333333,Female
159,5.625,1.75,2.2,4.166666667,Female
180,5,1.25,2.2,2.916666667,Female
197,5.5,1,2.2,3.083333333,Female
211,6.875,1,2.2,1,Female
7,5,5.25,2,4.25,Female
19,4,4.5,2,3.833333333,Female
21,5.5,4.5,2,1.75,Female
30,3.75,4,2,4.416666667,Female
