"","x"
"1",1.0083954521765
"2",1.04127359272069
"3",1.20765013862589
"4",1.19728308819245
"5",0.95651263241508
"6",1.13449741161233
"7",1.02569765356035
"8",1.08313103660635
"9",1.16887305460393
"10",1.31542221956457
"11",1.24197563830726
"12",0.944643512977941
"13",1.27369217156392
"14",1.13270972952657
"15",1.26219769270584
"16",1.30746754788322
"17",0.947164413123556
"18",1.1906950699042
"19",1.11655143028007
"20",1.15288250368288
"21",1.12647394985688
"22",1.11061997493978
"23",1.2359771059414
"24",1.39664107996409
"25",1.05537832546067
"26",1.28831087770098
"27",1.21493011811339
"28",1.40060855545245
"29",1.17604286339574
"30",1.03843322102262
"31",1.14314781572398
"32",1.16172065823863
"33",1.04054297708115
"34",1.10431931209709
"35",1.25887510518808
"36",1.24541848290304
"37",1.20309285411587
"38",0.867615497689298
"39",0.911223430019605
"40",1.2864048339876
"41",1.13802114158612
"42",1.09066164357732
"43",1.07235270920058
"44",1.14553534857565
"45",1.14784075815677
"46",1.12347840519868
"47",1.11619624050404
"48",1.24189868003176
