id,t0,t1,t2,t3,gender,age,support
22,1,2,NA,NA,0,6.08,13
34,3,6,4,5,1,6.83,9
58,0,2,0,1,0,6.5,9
122,0,3,1,1,1,7.83,13
125,1,1,2,1,0,7.42,10
133,3,4,3,5,1,6.75,8
163,5,4,5,5,1,7.17,10
190,0,NA,NA,0,0,6.67,9
227,0,0,2,1,0,6.25,12
248,1,2,2,0,0,7.5,9
251,2,3,4,4,1,7.42,6
300,0,6,0,3,1,6.08,7
326,4,2,NA,3,1,6.08,13
348,1,0,2,0,1,7,10
382,0,0,0,0,0,7.17,7
400,2,6,3,5,1,6,8
405,4,4,NA,4,1,6.25,14
427,3,2,3,4,1,7.5,9
431,0,1,1,0,0,6.42,10
480,0,1,2,1,0,7.67,10
484,0,0,1,0,0,8,13
486,1,1,0,1,1,6.67,7
494,2,6,5,4,1,7.42,10
509,3,3,2,9,1,6.33,11
522,1,NA,2,1,0,7.17,9
533,0,0,1,0,0,6.42,11
555,1,3,0,0,0,7.75,9
568,2,0,1,2,0,6,8
637,0,3,2,2,1,6.17,4
648,5,0,5,3,0,8,7
689,0,1,2,2,0,6,12
747,1,4,1,1,1,6.67,6
756,3,2,NA,5,0,6.5,9
761,1,3,3,1,1,7.83,9
768,0,0,0,0,0,6.92,12
780,1,3,2,3,1,6.08,9
798,1,3,3,5,0,6,10
813,1,2,3,1,1,7,3
828,2,2,4,3,0,6.42,9
851,2,5,5,7,0,6.5,9
858,4,0,4,4,1,6.25,13
865,4,0,NA,6,0,7.5,7
894,1,3,3,2,1,6.17,12
906,0,2,3,2,1,6.5,10
911,3,0,4,1,1,7.75,7
936,0,0,1,0,0,8,10
939,4,2,2,3,1,7.42,8
945,1,0,1,0,0,7.83,8
957,1,1,1,NA,0,7.08,13
963,6,5,3,4,1,6.25,12
970,2,5,1,2,0,7.58,7
1031,0,0,2,0,0,6.33,8
1036,0,3,4,1,1,6.92,8
1048,0,1,1,2,0,6.42,8
1050,1,0,0,0,0,6.17,10
1072,6,6,NA,NA,1,8,8
1076,0,0,2,2,0,6.75,13
1086,0,2,0,1,0,6.92,6
1091,0,NA,NA,NA,0,7.5,11
1111,1,0,3,NA,0,8,5
1123,1,2,1,2,0,6.5,11
1135,0,1,1,3,0,8,9
1139,0,0,0,0,0,7.92,12
1166,4,2,1,NA,1,6.75,4
1170,3,NA,2,NA,1,7.83,8
1193,5,2,1,7,1,7.17,8
1204,0,0,3,0,0,8,5
1220,1,3,2,1,0,7.58,9
1240,0,0,0,0,0,7.92,12
1258,6,6,3,4,0,7.92,10
1271,2,1,0,1,0,7.67,9
1294,1,0,0,NA,0,7.83,7
1331,0,2,2,0,0,7,8
1335,1,1,1,2,1,7.5,5
1361,1,2,1,2,1,7.33,11
1378,3,1,1,0,1,7.67,11
1386,5,NA,0,0,1,7.58,7
1392,2,NA,0,2,0,7.83,4
1412,2,3,2,2,1,6.33,10
1419,1,1,NA,NA,1,6.83,8
1422,1,4,1,NA,0,6.33,8
1456,0,0,2,5,0,6.75,9
1463,1,2,2,4,1,7.08,9
1466,1,0,0,3,0,7.83,10
1491,2,0,1,0,1,6.58,12
1498,1,3,0,2,1,6.58,10
1515,4,3,5,4,1,6.5,8
1530,0,0,0,0,1,7.17,8
1537,1,0,1,2,0,6.25,6
1550,4,2,NA,NA,0,7.42,5
1552,3,0,3,0,1,6,13
1559,4,4,3,2,0,8,10
1577,4,8,6,NA,1,6.67,2
1582,5,1,0,NA,0,6.33,11
1584,0,1,0,1,0,6.92,12
1599,2,7,NA,NA,1,6.17,7
1608,1,4,2,4,1,7.42,6
1621,0,1,3,3,1,7.83,11
1639,0,1,1,0,1,6.58,12
1648,5,2,NA,1,1,7.25,11
1652,0,1,0,0,0,6.83,11
1659,0,0,3,2,1,6.42,8
1665,0,4,5,3,0,8,5
1666,2,3,4,3,1,7.58,7
1682,2,1,NA,1,0,6.5,7
1700,0,4,10,7,1,6.17,5
1741,2,2,3,2,1,6.83,10
1756,3,5,5,3,1,7.58,8
1763,1,1,4,3,0,6.75,6
1810,3,2,NA,NA,0,6.42,8
1828,1,6,2,3,1,6.75,9
1830,1,0,2,0,0,6.08,9
1836,1,1,2,1,0,8,4
1843,2,1,4,NA,0,7.5,9
1848,0,0,0,0,1,6,12
1886,1,2,1,1,1,6.58,3
1888,0,0,0,0,0,7.25,6
1926,2,2,0,NA,1,6.08,6
1934,7,5,5,4,1,7.42,10
1940,0,6,3,3,0,6.42,4
1969,1,5,2,2,1,6.42,12
1975,4,3,4,4,1,6.83,7
1996,3,1,0,NA,1,7.25,10
2025,4,4,8,NA,1,6.67,12
2031,3,9,4,7,0,7.42,6
2039,0,3,NA,NA,1,6,6
2058,1,0,2,4,1,6.75,5
2069,1,2,3,2,1,6,7
2199,0,0,1,0,0,6.25,6
2201,0,0,0,0,1,7.25,11
2271,2,2,4,5,1,6.75,11
2287,3,1,2,3,0,7.92,2
2291,5,2,1,2,0,6.5,8
2375,0,1,1,1,0,6,11
2376,2,1,0,2,1,6.58,7
2396,3,1,NA,0,1,6.67,6
2454,0,0,2,0,0,6.17,12
2480,6,2,7,3,0,6.5,9
2601,4,2,0,0,0,7.67,9
2635,2,6,NA,5,1,7,8
2655,6,2,0,1,0,6.08,7
2678,2,3,6,5,0,8,9
2696,4,NA,2,0,1,7.67,4
2716,2,3,2,0,0,6.67,9
2720,5,1,6,4,1,7.92,9
2724,9,8,10,9,1,6.42,9
2780,3,0,0,0,0,6.83,12
2781,3,4,1,1,1,7.92,11
2810,2,2,0,0,0,6.83,11
2833,1,NA,0,0,1,7.58,10
2884,4,3,3,5,1,7.58,11
2890,0,0,NA,0,0,7.17,9
2895,0,0,0,0,0,7.17,11
2957,2,0,3,4,0,6.67,13
3013,1,1,0,0,0,7.17,10
3033,1,0,3,0,0,7.83,10
3039,3,1,1,NA,1,7.33,5
3055,0,2,0,0,1,7.58,2
3059,0,0,0,0,0,6.83,7
3082,3,4,3,3,1,6.08,10
3112,2,1,2,0,1,7.25,8
3118,0,NA,NA,1,0,7.17,11
3158,2,4,1,1,0,6.92,7
3164,1,0,NA,NA,1,8,6
3192,0,3,2,5,1,7.08,14
3223,0,NA,2,1,1,6.08,11
3239,2,0,1,0,1,6.67,13
3247,1,0,0,0,0,7,12
3294,0,0,1,2,1,6.75,10
3297,0,0,0,4,0,7.58,6
3310,3,3,2,6,1,7.92,8
3329,2,NA,NA,NA,1,6,6
3337,0,1,NA,NA,0,6.67,6
3352,2,1,1,1,1,6.42,9
3382,5,4,NA,5,1,6.67,9
3404,1,NA,2,0,1,7.42,10
3405,0,0,0,0,0,6,9
3410,2,5,6,7,1,7.08,6
3424,1,NA,0,0,0,6.5,7
3443,3,2,4,4,1,6.58,11
3483,6,5,4,5,1,7.58,9
3486,2,1,0,3,1,6.17,9
3500,3,3,4,6,1,7.08,3
3507,4,7,NA,NA,1,6.33,2
3518,2,2,3,2,1,6.17,5
3522,1,1,4,5,1,6.5,10
3565,1,1,0,0,0,6,8
3575,2,2,1,3,0,7.92,9
3600,0,2,NA,NA,0,6.17,12
3667,1,1,2,6,0,6.42,4
3670,1,0,NA,0,0,7.67,10
3677,5,2,0,NA,1,6.17,8
3690,4,3,3,4,1,7,9
3706,3,1,0,7,0,7.17,8
3713,3,0,0,5,0,6.33,9
3778,1,0,0,0,1,6.92,12
3809,0,0,0,1,0,6.83,11
3813,1,1,1,0,1,6.17,10
3826,2,1,NA,3,0,6.42,6
3861,3,2,2,2,0,7.67,8
3868,0,1,4,2,0,6.17,9
3910,1,2,1,2,0,6.25,6
3915,1,NA,0,2,0,7.08,9
3948,0,1,NA,2,0,6,7
3960,0,2,1,1,1,7.67,8
3974,1,2,1,3,0,6.5,9
3985,1,NA,0,2,1,7.58,9
4054,1,NA,0,3,0,6.58,4
4080,2,2,0,1,0,6.42,10
4123,0,NA,NA,NA,0,6.67,4
4131,3,2,1,1,0,7.08,6
4165,4,3,3,2,1,6.42,7
4171,3,1,7,4,1,6.33,6
4186,2,5,1,5,1,6.17,7
4247,5,6,3,4,0,6,5
4451,1,1,0,1,1,7.33,10
4488,1,0,1,3,1,6.5,9
4523,2,3,5,4,1,7.83,7
4528,2,1,0,0,1,6.17,9
4560,0,1,2,2,0,7,10
4581,2,5,2,5,1,6,8
4594,0,0,1,1,1,6.83,10
4612,1,1,0,1,1,6,9
4669,0,2,5,3,1,7.33,9
4677,1,1,2,1,1,6,10
4679,0,1,1,2,1,6,12
4700,1,0,0,0,1,6.5,9
4728,3,1,0,0,1,7.08,12
4735,5,3,NA,NA,1,7.5,10
4740,2,3,1,0,1,7.58,9
4743,3,1,1,0,0,7,12
4755,1,1,1,2,0,6.17,10
4776,1,3,1,5,1,7.83,13
4794,0,0,0,1,0,7,13
4808,4,2,2,2,1,7.5,10
4832,0,1,1,1,0,6.58,12
4901,0,0,NA,NA,0,7.58,11
4953,4,1,NA,NA,1,6.25,8
4976,4,8,NA,NA,1,6.42,9
5004,1,3,NA,NA,1,6.5,8
5009,4,8,NA,NA,1,7.75,8
5037,0,7,NA,NA,1,7.75,5
5064,0,0,NA,NA,0,7.25,11
5159,0,1,0,0,0,7.75,11
5161,0,0,1,2,1,6.92,12
5197,1,1,NA,NA,0,6.33,10
5206,4,1,NA,NA,1,7.92,9
5278,1,0,0,0,0,6.17,6
5283,0,NA,0,0,1,7.83,12
5294,0,0,0,0,0,6.83,8
5297,0,1,1,3,0,6.17,9
5302,2,0,0,2,1,6.83,8
5326,2,1,2,1,0,6.67,13
5355,0,1,0,0,1,6.33,9
5360,3,5,0,0,1,7.75,13
5369,3,2,0,2,1,7.83,10
5411,0,6,NA,NA,1,7.58,13
5420,2,4,4,4,0,6.08,4
5427,1,NA,NA,NA,0,7.67,9
5438,1,1,3,5,0,6.75,9
5442,0,0,NA,0,0,7,9
5444,0,1,0,1,0,7.33,10
5542,3,6,7,9,1,6.83,11
5572,2,1,1,2,0,7.58,12
5576,2,6,6,6,1,6.67,13
5595,0,0,1,1,1,6.75,12
5632,1,0,0,NA,0,6.17,11
5641,3,1,NA,NA,1,6.83,10
5643,1,NA,NA,NA,0,6.83,6
5674,3,5,NA,NA,1,6.42,8
5718,0,0,NA,NA,0,7.08,10
5720,1,0,NA,NA,0,6.67,10
5734,0,2,NA,NA,0,6.58,10
5774,0,3,NA,NA,0,7.67,9
5776,6,7,NA,NA,0,7.75,10
5825,1,0,NA,NA,0,7.58,8
5847,1,2,NA,NA,0,8,10
5878,0,NA,0,0,0,6.42,14
5962,1,1,1,0,0,6.33,9
6035,2,3,3,1,1,6.33,8
6058,2,1,4,1,1,6.08,9
6063,0,0,2,1,1,6.58,11
6069,2,4,4,0,0,7.5,11
6071,0,1,2,0,0,7.67,14
6083,2,0,NA,NA,0,7.58,9
6096,1,3,2,5,1,6,8
6171,2,1,2,1,0,7.17,9
6244,1,1,1,1,0,7.92,11
6246,1,0,0,0,0,7.92,10
6278,4,2,2,0,1,6.17,8
6288,0,0,0,0,1,6.58,12
6295,7,1,3,3,1,7,12
6301,1,2,1,2,0,6.83,11
6303,1,0,0,0,1,6.75,8
6309,0,4,4,2,1,7.25,11
6339,1,NA,4,0,1,7.92,10
6349,1,3,2,3,0,7,6
6368,2,NA,NA,4,1,7.08,9
6376,5,5,5,NA,1,7.5,7
6379,2,2,7,NA,1,7.67,8
6395,1,3,3,3,0,6.58,11
6405,3,2,NA,NA,1,7.42,9
6410,0,0,0,0,0,6.25,6
6411,1,4,2,1,1,7.17,8
6414,0,1,0,0,0,7.08,12
6422,0,0,0,NA,0,6.17,5
6433,1,1,0,5,1,6.08,8
6445,2,0,NA,NA,0,7.5,14
6456,0,2,NA,NA,0,6,13
6469,3,0,NA,NA,0,6.08,9
6476,1,1,NA,NA,0,7.33,12
6490,6,7,NA,NA,1,7.5,7
6529,0,0,NA,NA,0,7.83,7
6532,3,0,NA,NA,0,7,11
6551,2,5,NA,NA,1,6.33,9
6583,1,1,NA,NA,1,7.83,11
6612,2,2,NA,NA,0,6.42,6
6734,1,2,2,4,0,6.25,8
6825,1,1,0,0,0,8,12
6853,7,6,6,5,0,7.67,11
6874,0,2,NA,NA,0,6.25,11
6878,0,3,1,0,1,6.17,14
6907,1,3,3,NA,0,7.42,9
6919,1,2,2,1,0,6.5,7
6932,0,1,1,0,1,7,6
6975,3,1,1,1,1,6.25,10
6997,5,10,8,10,1,8,6
7045,0,1,0,1,1,6.42,12
7119,1,NA,NA,NA,1,8,12
7185,2,1,0,2,1,6.08,6
7201,0,2,NA,NA,0,7.5,12
7211,2,4,NA,NA,1,7.58,5
7221,0,1,NA,NA,0,6.5,11
7236,2,1,NA,NA,1,8,9
7242,1,NA,NA,NA,0,7.75,12
7244,1,NA,NA,NA,1,7.75,10
7247,1,1,NA,NA,0,7.75,9
7259,3,NA,NA,NA,0,7.17,3
7266,0,NA,NA,NA,1,6,10
7288,0,3,NA,NA,1,6.42,10
7290,0,9,NA,NA,0,6.08,5
7295,3,6,NA,NA,0,7,10
7297,1,0,NA,NA,1,7.5,9
7307,1,0,NA,NA,1,6.5,12
7311,0,1,NA,NA,0,7.75,11
7315,2,2,NA,NA,1,7.5,7
7325,0,3,NA,NA,0,6.25,8
7380,0,0,2,0,0,6.75,11
7388,2,0,0,0,1,7.83,8
7424,3,3,NA,NA,1,7.58,5
7427,0,0,NA,NA,1,7.33,7
7482,1,0,1,0,1,6.33,7
7509,5,3,2,0,0,7.92,3
7572,1,1,0,1,1,6.83,12
7576,2,0,0,4,0,7,11
7579,2,2,1,0,1,8,11
7600,1,2,3,NA,0,6.17,10
7643,0,1,NA,NA,0,7.92,10
7673,2,3,3,7,1,6.33,5
7716,0,0,NA,NA,0,6.17,11
7725,1,1,0,2,0,6.75,10
7728,3,5,1,4,1,6.17,6
7734,0,0,0,0,0,6.42,11
7798,3,4,4,1,1,6.83,10
7811,1,4,4,5,1,6.25,2
7855,2,2,0,0,0,6.33,7
7869,0,0,0,0,0,6.58,11
7873,0,0,0,0,1,7.92,12
7875,0,0,0,0,1,6.5,10
7891,5,1,NA,NA,0,6.42,4
7904,0,0,NA,NA,1,7.67,8
7905,3,8,NA,NA,0,7.58,9
7919,0,0,NA,NA,1,6.42,12
7938,0,2,NA,NA,0,6.5,9
7979,2,3,NA,NA,0,6.75,10
7986,2,0,0,0,1,6.92,12
8006,0,2,1,0,1,6.08,6
8031,4,6,NA,NA,0,7.83,12
8085,2,2,2,2,0,6.33,10
8157,1,0,NA,NA,0,7.92,5
8190,1,3,5,8,1,6.75,3
8239,1,0,1,0,0,8,8
8274,3,2,4,3,0,7.25,8
8288,0,0,0,2,1,7.42,10
8335,2,NA,NA,NA,0,6.5,13
8361,0,2,2,4,1,7.83,9
8393,0,1,0,0,1,7.17,11
8423,3,6,NA,NA,0,7.08,8
8448,2,4,NA,NA,0,6.5,9
8459,5,6,NA,NA,1,6.92,10
8475,0,0,NA,NA,0,6.17,13
8480,2,2,NA,NA,1,7.25,9
8521,3,6,3,3,0,7.67,5
8577,3,NA,0,10,0,6.5,5
8580,0,NA,0,4,0,6,1
8627,4,2,3,1,1,6.08,9
8705,2,1,4,4,0,6.08,11
8807,0,0,1,1,1,6.42,10
8870,2,1,0,0,0,6,4
8915,2,2,NA,NA,1,7.42,6
8958,0,2,NA,NA,0,7,10
9232,4,2,NA,NA,0,7.17,10
9286,3,4,NA,NA,1,6.42,5
9317,4,6,NA,NA,1,6,11
9319,2,5,NA,NA,1,6,7
