"","Num","AGE","GENDER","NegEmot1","NegEmot2","NegEmot3","Egal1","Egal2","Egal3","Ind1","Ind2","Ind3","GovSupport1","GovSupport2","GovSupport3"
"1",1,22,1,7,7,5,5.6,3,5.5,4.25,4.5,5.33333333333333,4,4.33333333333333,5
"2",4,22,1,4,5,5,5.2,7,6.7,1.5,1,1,7,7,7
"3",5,23,1,5,4,4,5.4,6.2,6.1,2.5,3,2.5,7,6.66666666666667,6
"4",6,23,1,5,5,5,6.2,4.6,5.5,1.75,2.25,NA,5,4.33333333333333,5
"5",7,23,1,4,5,6,6,4,5.2,1.75,3.5,2,6,6.66666666666667,7
"6",8,23,1,6,3,5,6.6,5.4,5,3.5,4.75,4.5,7,5.66666666666667,4
"7",11,23,1,4,4,4,NA,4,4,4,4,4,4,4,4
"8",26,23,1,5,4,6,5.4,5.4,6.1,2,1.75,2.75,6,5.33333333333333,4
"9",27,23,1,5,4,5,6.6,6.2,6,2.25,2.25,2.25,7,7,7
"10",28,23,1,6,6,7,6.2,5.6,6.4,1.5,2,3,5,5,4
"11",29,23,1,5,6,5,5,5.6,5.7,1.75,2.5,2.5,7,5.66666666666667,5
"12",31,23,1,7,7,6,6.2,5.8,6.6,3,2,1.25,7,6.66666666666667,6
"13",32,23,1,7,7,7,6.2,5.6,6.1,1.25,1.25,1.25,5,4.66666666666667,3
"14",33,23,1,3,6,5,6.2,5.2,6.1,2,2,3,6,4,3
"15",34,23,1,4,5,5,4.2,3.6,4.6,2.25,2.25,NA,5,4.66666666666667,3
"16",36,22,1,5,6,6,5.2,5,6.2,1.25,1.75,3,4,4.66666666666667,4
"17",38,22,1,7,7,7,7,6.4,6.7,1,1,1.75,7,5,1
"18",39,22,1,7,7,5,6.4,6.4,6.4,2.25,1.25,NA,7,6.33333333333333,5
"19",43,22,1,6,6,6,4.2,5.6,5.33333333333333,2,2.5,1.75,7,7,7
"20",44,22,1,5,5,4,3.8,6.8,5.5,3.5,3,6.25,7,5,1
"21",45,23,1,5,5,4,2.4,6.8,5.1,2.25,4.25,4.5,7,6.66666666666667,6
"22",47,23,1,1,6,3,3.2,5.2,3.8,4,3,2.25,7,7,7
"23",48,22,1,2,7,7,5.2,6.2,5,2.75,4,2,7,6,4
"24",49,23,1,6,7,7,5.4,6,5.6,1.75,2.33333333333333,3,5,4.33333333333333,5
"25",50,23,1,7,7,6,6.6,NA,6.6,1,1.25,1,7,6.66666666666667,6
"26",51,22,1,7,7,7,6.8,7,7,1,1,1,7,7,7
"27",52,23,1,7,7,7,6.6,7,7,1.75,1,1.75,7,5,1
"28",53,23,1,6,6,6,6,5.2,5.3,1,1,1.5,4,4.66666666666667,4
"29",54,23,1,6,6,6,6,5.2,5.3,1,1,1.5,7,7,7
"30",55,23,1,5,6,6,5.6,4.4,5.5,1,1,1.5,6,5.33333333333333,4
"31",57,23,1,5,5,5,5.8,4.6,5.3,2.25,2.25,1.75,5,3.33333333333333,2
"32",58,23,1,5,7,7,NA,4.6,5.6,1,1,1,7,6,4
"33",59,23,1,5,6,6,6.2,6,6.6,1,1.5,1.75,4,4.33333333333333,4
"34",60,23,1,6,6,7,6.6,5.8,6.6,2,2.25,2.25,7,6,4
"35",61,23,1,3,5,3,6,6.5,6.33333333333333,3.75,4,3.5,5,5.33333333333333,4
"36",62,23,1,7,7,7,6.6,7,6.2,1,1,1,7,5,1
"37",66,23,1,6,6,6,4,4.6,4.8,5.5,4.75,5.25,6,5.66666666666667,4
"38",67,22,1,2,2,3,3,2.75,3.7,4.25,3.75,4.25,7,6.33333333333333,5
"39",68,22,1,1,6,4,1.8,3.6,4.2,4,NA,4,7,6.66666666666667,6
"40",69,23,1,1,4,7,4,4.6,5.2,3.5,4.75,3.75,4,4,1
"41",70,23,1,1,2,3,6,5.4,5.8,5.75,5.75,6,5,5.66666666666667,6
"42",71,22,1,1,2,3,5.6,6.25,3.9,4.75,3,3.5,4,5.66666666666667,7
"43",72,22,1,1,3,4,4.6,6.2,4.6,4.25,3.5,4.5,5,4.66666666666667,4
"44",73,23,1,6,6,5,4.8,5.2,4.7,5,5,4.75,6,4.66666666666667,6
"45",76,24,1,7,7,7,7,6.8,7,1,1,1,7,5,1
"46",77,24,1,7,7,7,7,6.6,6.6,1,1,1,6,3.33333333333333,2
"47",79,25,1,7,7,7,7,7,6.3,1,1,1,7,5.66666666666667,3
"48",80,23.5714285714286,1,3,4,5,6.2,5.2,4.9,3.25,3.25,4.25,7,7,7
"49",81,24,1,7,7,7,6,5.6,6.5,1,1,1.75,7,6,4
"50",82,24,1,6,7,6,7,6.4,6.4,2.5,2.25,2.5,5,5,5
"51",83,24,2,6,5,4,7,6.8,6.5,1.75,2,2,4.66666666666667,4.55555555555556,5
"52",84,24,2,7,6,6,6.4,5.4,5.1,1.25,1.75,2,6,4.33333333333333,1
"53",85,24,2,6,5,5,6.4,6.8,6,2.75,1,1.75,7,7,7
"54",87,23,2,6,5,5,7,5,5.7,3,3,2.5,4,3.66666666666667,1
"55",90,25,2,5,7,6,6,5.2,5.2,3,3.5,3.25,4,4.66666666666667,4
"56",91,25,2,6,5,5,6.8,6.6,6.7,2.5,1,1.75,7,7,7
"57",93,24,2,6,6,6,5.4,6.2,6.3,1,1,1,5,5.33333333333333,4
"58",94,23.5714285714286,2,7,7,7,7,5,6.11111111111111,1,1.25,2.5,3,4.66666666666667,5
"59",95,25,1,7,7,7,6.6,6.6,6.3,1,1.5,1.25,7,5.66666666666667,3
"60",96,23.5714285714286,1,6,6,5,7,5.8,6.4,1.25,1,3,6,6,5
"61",98,23.5714285714286,1,2,2,2,5.4,3.4,3.7,3,3.75,2.75,4,4.66666666666667,4
"62",100,24,1,4,7,6,6,5,4.9,2.5,4,4,4,6,7
"63",102,25,1,5,5,5,5.4,5.2,5.7,1.25,1,2.75,6,5.66666666666667,4
"64",104,24,1,5,6,6,5.6,5.2,6.2,1.5,1.25,2.25,6,6,6
"65",105,24,1,6,7,5,5.2,4,5.9,1.25,1.75,2,5,4,1
"66",106,24,1,5,6,6,4.2,5.6,5.4,3.5,3,3.5,4,4.66666666666667,4
"67",107,24,1,4,6,5,5,5,4.7,5.25,4,4.75,5,4.33333333333333,6
"68",108,24,1,5,6,6,4.6,5,5.9,2,2.5,1.5,6,6.33333333333333,6
"69",109,25,1,6,6,5,3.6,3.8,5.2,4.5,4.5,3,6,4.66666666666667,6
"70",110,24,1,6,4,5,4.2,4.2,5,4,2,5,3,3.33333333333333,3
"71",112,24,1,5,7,7,6.4,6.2,5.9,1.5,2,3.25,6,6.33333333333333,6
"72",113,25,2,6,6,6,6.2,5.4,6.1,1.5,1.5,2.25,6,5.33333333333333,4
"73",114,25,2,5,5,5,3.8,4,4.5,4.5,4.25,3.25,4,3,1
"74",115,24,2,6,4,3,6.2,6.6,5.6,1.75,2.5,3.25,4,3.66666666666667,5
"75",116,24,2,5,6,6,6,6,5.9,1.5,2,4.5,6,6,6
"76",119,23.5714285714286,2,2,6,6,6.2,6.4,5.7,2,5,5.5,7,7,7
"77",123,24,2,5,5,5,4,4.6,4.5,2,2.25,2.5,6,5.66666666666667,4
"78",126,23.5714285714286,2,4,4,4,2.33333333333333,4.75,2,4,4,4,2,3.33333333333333,1
"79",127,24,2,3,4,5,4.8,4.4,5.4,1.75,3.25,4.5,4,4,2
"80",128,24,2,6,7,6,3.6,4.25,4.4,3.25,2.75,3,3,4.66666666666667,4
"81",129,24,2,5,4,4,4.2,5,4,4.5,3.75,3.75,6,6.33333333333333,6
"82",130,24,2,1,2,3,6.75,4.6,5.3,4.25,3.25,4,3,3.66666666666667,1
"83",131,23,2,3,4,3,5.2,5.6,5.1,3.25,3.5,3.5,5,5,4
"84",134,23.5714285714286,2,4,1,3.27272727272727,4.6,2.8,3.7,3.5,3.75,5.25,5,4.66666666666667,3
"85",138,25,2,6,7,7,6,6.6,5.3,3.25,4.25,5,4,3.33333333333333,1
"86",139,23.5714285714286,2,5,6,5,5.2,4.2,5.7,2,2.25,4.75,5,5,4
"87",140,24,2,4,4,4,4,4,4,3.75,3.75,3.75,4,4,5
"88",141,23.5714285714286,2,4,4,4,5.4,5.2,4.7,4,4,4,6,5.66666666666667,7
"89",142,23.5714285714286,2,6,4,4,5.8,4.2,5.1,1.75,2.75,2.5,5,3.66666666666667,2
"90",143,25,2,4,4,4,3.6,4,4.1,3.25,4,3.75,5,4.33333333333333,3
"91",144,26,2,5,5,6,6,6.2,6,1,1,1.25,6,6.33333333333333,7
"92",145,26,2,4,5,4,4.6,4.4,4.3,4,4.25,3.25,5,5.66666666666667,6
"93",146,26,2,1,1,1,2.8,3.4,3.2,3.5,3.25,1.75,1,1.66666666666667,3
"94",147,26,2,5,7,7,5,5,4.8,4.5,5,5,6,5,6
