NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3,na_count,emot,ind,egal,gov
3,3,4,4,4,3,2,3,4,1,1,2,0,3.333333333,3.083333333,3.422222222,1.888888889
3,4,4,4,4,6,3,3,3,2,1,2,0,3.666666667,3.083333333,4.433333333,2.555555556
2,3,4,5,4,5,4,4,5,1,1,2,0,3,4,4.4,2.444444444
1,1,1,3,3,3,4,3,2,1,2,3,0,1,2.833333333,3.133333333,1.888888889
1,6,6,5,7,5,3,3,4,3,2,1,1,4.333333333,2.916666667,5.866666667,2
6,3,6,6,7,6,2,5,4,1,2,2,0,5,3.5,6.433333333,3.888888889
5,4,5,3,5,3,3,5,5,3,2,3,0,4.666666667,4.333333333,3.6,3.333333333
7,7,7,7,5,6,1,1,3,3,2,3,0,7,1.583333333,6.037037037,4.222222222
6,5,4,6,6,6,1,1,1,3,2,4,0,5,1.083333333,5.866666667,3.555555556
6,7,6,4,4,4,3,3,3,3,2,3,0,6.333333333,3,4.083333333,3.888888889
6,6,6,4,4,4,3,3,3,3,2,4,0,6,2.5,4.033333333,3.888888889
4,4,4,5,5,3,2,3,4,3,3,3,0,4,2.555555556,4.303703704,2.814814815
4,4,4,6,7,5,6,3,3,2,3,2,0,4,3.972222222,5.8,2.555555556
4,4,4,4,3,4,4,4,5,3,3,2,0,4,4.166666667,3.6,2.666666667
5,5,5,4,4,5,5,4,3,4,3,3,0,5,4,4.1,2.666666667
4,4,4,2,5,2,4,4,4,2,3,1,0,4,4,3.027777778,2.111111111
5,5,5,6,5,5,2,2,2,5,3,2,0,5,2.083333333,5.233333333,3.444444444
6,4,5,4,4,5,4,2,5,3,3,3,0,5,3.666666667,4.466666667,3.111111111
6,7,7,6,7,5,3,4,5,4,3,3,0,6.666666667,4.166666667,5.966666667,2.777777778
1,2,3,7,5,5,4,3,4,3,4,3,0,2,3.833333333,5.55,2.555555556
6,4,4,6,4,5,2,3,3,5,4,2,0,4.666666667,2.333333333,5.033333333,3.555555556
