pupil,school,extrav,gender,ses,popular,extrav_c,ses_c,gender_c
1,1,5,1,24,6.3,-0.215,9.737,0.5
2,1,7,0,24,4.9,1.785,9.737,-0.5
3,1,4,1,24,5.3,-1.215,9.737,0.5
4,1,3,1,24,4.7,-2.215,9.737,0.5
5,1,5,1,24,6,-0.215,9.737,0.5
6,1,4,0,24,4.7,-1.215,9.737,-0.5
7,1,5,0,24,5.9,-0.215,9.737,-0.5
8,1,4,0,24,4.2,-1.215,9.737,-0.5
9,1,5,0,24,5.2,-0.215,9.737,-0.5
10,1,5,0,24,3.9,-0.215,9.737,-0.5
11,1,5,1,24,5.7,-0.215,9.737,0.5
12,1,5,1,24,4.8,-0.215,9.737,0.5
13,1,5,0,24,5,-0.215,9.737,-0.5
14,1,5,1,24,5.5,-0.215,9.737,0.5
15,1,5,1,24,6,-0.215,9.737,0.5
16,1,6,1,24,5.7,0.785,9.737,0.5
17,1,4,0,24,3.2,-1.215,9.737,-0.5
18,1,4,0,24,3.1,-1.215,9.737,-0.5
19,1,7,1,24,6.6,1.785,9.737,0.5
20,1,4,0,24,4.8,-1.215,9.737,-0.5
1,2,8,1,14,6.4,2.785,-0.263,0.5
2,2,4,0,14,2.4,-1.215,-0.263,-0.5
3,2,6,0,14,3.7,0.785,-0.263,-0.5
4,2,5,1,14,4.4,-0.215,-0.263,0.5
5,2,5,1,14,4.3,-0.215,-0.263,0.5
6,2,5,0,14,4,-0.215,-0.263,-0.5
7,2,4,1,14,3.8,-1.215,-0.263,0.5
8,2,5,0,14,4.2,-0.215,-0.263,-0.5
9,2,6,1,14,5.1,0.785,-0.263,0.5
10,2,4,1,14,4.1,-1.215,-0.263,0.5
11,2,6,1,14,4.6,0.785,-0.263,0.5
12,2,4,0,14,4.9,-1.215,-0.263,-0.5
13,2,4,0,14,3.1,-1.215,-0.263,-0.5
14,2,3,0,14,3.2,-2.215,-0.263,-0.5
15,2,6,0,14,4.4,0.785,-0.263,-0.5
16,2,5,1,14,3.7,-0.215,-0.263,0.5
17,2,5,1,14,6.1,-0.215,-0.263,0.5
18,2,3,1,14,3.5,-2.215,-0.263,0.5
19,2,4,0,14,2.9,-1.215,-0.263,-0.5
20,2,5,0,14,3.3,-0.215,-0.263,-0.5
1,3,5,0,13,4.2,-0.215,-1.263,-0.5
2,3,5,1,13,6,-0.215,-1.263,0.5
3,3,4,1,13,4.6,-1.215,-1.263,0.5
4,3,4,1,13,4.9,-1.215,-1.263,0.5
5,3,6,0,13,4.7,0.785,-1.263,-0.5
6,3,5,1,13,4.8,-0.215,-1.263,0.5
7,3,5,0,13,2.8,-0.215,-1.263,-0.5
8,3,7,1,13,6.7,1.785,-1.263,0.5
9,3,4,1,13,4.9,-1.215,-1.263,0.5
